"time","steps","distance","floors","active-minutes","calories-burned"
2016-04-11 00:00:00,0,0,0,0,20.439
2016-04-11 00:15:00,0,0,0,0,20.439
2016-04-11 00:30:00,0,0,0,0,20.439
2016-04-11 00:45:00,7,0.003255985,0,0,22.34664
2016-04-11 01:00:00,0,0,0,0,20.57526
2016-04-11 01:15:00,0,0,0,0,20.57526
2016-04-11 01:30:00,0,0,0,0,20.439
2016-04-11 01:45:00,0,0,0,0,20.57526
2016-04-11 02:00:00,0,0,0,0,20.439
2016-04-11 02:15:00,8,0.0037220134,0,0,22.34664
2016-04-11 02:30:00,0,0,0,0,20.57526
2016-04-11 02:45:00,0,0,0,0,20.57526
2016-04-11 03:00:00,0,0,0,0,20.439
2016-04-11 03:15:00,0,0,0,0,20.439
2016-04-11 03:30:00,0,0,0,0,20.439
2016-04-11 03:45:00,0,0,0,0,20.439
2016-04-11 04:00:00,0,0,0,0,20.439
2016-04-11 04:15:00,0,0,0,0,20.439
2016-04-11 04:30:00,0,0,0,0,20.57526
2016-04-11 04:45:00,0,0,0,0,20.439
2016-04-11 05:00:00,0,0,0,0,20.98404
2016-04-11 05:15:00,0,0,0,0,20.439
2016-04-11 05:30:00,0,0,0,0,20.439
2016-04-11 05:45:00,0,0,0,0,20.439
2016-04-11 06:00:00,0,0,0,0,20.98404
2016-04-11 06:15:00,0,0,0,0,20.439
2016-04-11 06:30:00,0,0,0,0,20.439
2016-04-11 06:45:00,0,0,0,0,21.25656
2016-04-11 07:00:00,0,0,0,0,20.57526
2016-04-11 07:15:00,0,0,0,0,20.71152
2016-04-11 07:30:00,0,0,0,0,21.39282
2016-04-11 07:45:00,0,0,0,0,21.39282
2016-04-11 08:00:00,0,0,0,0,20.71152
2016-04-11 08:15:00,0,0,0,0,20.57526
2016-04-11 08:30:00,0,0,0,0,21.1203
2016-04-11 08:45:00,0,0,0,0,23.70924
2016-04-11 09:00:00,91,0.042358875,0,0,36.1089
2016-04-11 09:15:00,17,0.007910055,0,0,24.11802
2016-04-11 09:30:00,0,0,0,0,20.57526
2016-04-11 09:45:00,202,0.094007246,0,0,57.63798
2016-04-11 10:00:00,405,0.18849295,0,0,66.22236
2016-04-11 10:15:00,0,0,0,0,22.4829
2016-04-11 10:30:00,172,0.08005125,2,0,35.83638
2016-04-11 10:45:00,181,0.0842455,0,0,35.01882
2016-04-11 11:00:00,216,0.100531645,1,0,39.37914
2016-04-11 11:15:00,113,0.05259286,0,0,31.61232
2016-04-11 11:30:00,75,0.03490242,0,0,29.56842
2016-04-11 11:45:00,21,0.009774169,0,0,25.8894
2016-04-11 12:00:00,31,0.014428239,0,0,27.79704
2016-04-11 12:15:00,0,0,0,0,21.25656
2016-04-11 12:30:00,208,0.09680342,0,1,36.1089
2016-04-11 12:45:00,1495,0.69579905,0,13,129.71951
2016-04-11 13:00:00,1749,0.81400245,7,15,146.88828
2016-04-11 13:15:00,674,0.3136744,0,6,74.2617
2016-04-11 13:30:00,0,0,0,0,21.8016
2016-04-11 13:45:00,101,0.04700673,0,0,29.70468
2016-04-11 14:00:00,0,0,0,0,20.84778
2016-04-11 14:15:00,0,0,0,0,21.66534
2016-04-11 14:30:00,311,0.1447422,0,0,45.6471
2016-04-11 14:45:00,482,0.22432743,0,0,62.13456
2016-04-11 15:00:00,156,0.07261344,0,0,35.70012
2016-04-11 15:15:00,0,0,0,0,21.1203
2016-04-11 15:30:00,0,0,0,0,20.84778
2016-04-11 15:45:00,0,0,0,0,22.07412
2016-04-11 16:00:00,0,0,0,0,20.98404
2016-04-11 16:15:00,4,0.0018641136,0,0,23.30046
2016-04-11 16:30:00,0,0,0,0,21.52908
2016-04-11 16:45:00,0,0,0,0,21.66534
2016-04-11 17:00:00,98,0.045608647,0,0,30.6585
2016-04-11 17:15:00,0,0,0,0,21.1203
2016-04-11 17:30:00,269,0.12518765,0,0,42.78564
2016-04-11 17:45:00,69,0.032112464,1,0,29.2959
2016-04-11 18:00:00,0,0,0,0,21.8016
2016-04-11 18:15:00,326,0.15172642,0,0,58.45554
2016-04-11 18:30:00,320,0.14893647,0,0,60.36318
2016-04-11 18:45:00,2172,1.1996503,2,15,221.55876
2016-04-11 19:00:00,1276,0.6299958,0,15,177.68304
2016-04-11 19:15:00,1328,0.61807793,5,14,154.51884
2016-04-11 19:30:00,1545,0.71906936,0,15,144.70811
2016-04-11 19:45:00,812,0.37790552,0,8,86.5251
2016-04-11 20:00:00,935,0.43515247,0,9,98.1072
2016-04-11 20:15:00,14,0.0065181837,0,0,29.9772
2016-04-11 20:30:00,270,0.12566611,0,0,49.46238
2016-04-11 20:45:00,115,0.0535187,0,0,43.05816
2016-04-11 21:00:00,0,0,0,0,25.2081
2016-04-11 21:15:00,0,0,0,0,24.5268
2016-04-11 21:30:00,0,0,0,0,25.07184
2016-04-11 21:45:00,63,0.029322507,0,0,38.8341
2016-04-11 22:00:00,0,0,0,0,24.66306
2016-04-11 22:15:00,0,0,0,0,23.43672
2016-04-11 22:30:00,0,0,0,0,20.98404
2016-04-11 22:45:00,0,0,0,0,21.93786
2016-04-11 23:00:00,0,0,0,0,20.57526
2016-04-11 23:15:00,97,0.045136403,0,0,39.78792
2016-04-11 23:30:00,0,0,0,0,20.84778
2016-04-11 23:45:00,0,0,0,0,20.57526
