"time","heart-rate"
2016-04-12 15:55:00,82
2016-04-12 16:00:00,93
2016-04-12 16:05:00,97
2016-04-12 16:10:00,91
2016-04-12 16:15:00,59
2016-04-12 16:20:00,60
2016-04-12 16:25:00,62
2016-04-12 16:30:00,71
2016-04-12 16:35:00,61
2016-04-12 16:40:00,58
2016-04-12 16:45:00,110
2016-04-12 16:50:00,115
2016-04-12 16:55:00,92
2016-04-12 17:00:00,81
2016-04-12 17:05:00,77
2016-04-12 17:10:00,78
2016-04-12 17:15:00,78
2016-04-12 17:20:00,77
2016-04-12 17:25:00,72
2016-04-12 17:30:00,76
2016-04-12 17:35:00,96
2016-04-12 17:40:00,103
2016-04-12 17:45:00,115
2016-04-12 17:50:00,110
2016-04-12 17:55:00,96
2016-04-12 18:00:00,98
2016-04-12 18:05:00,116
2016-04-12 18:10:00,129
2016-04-12 18:15:00,126
2016-04-12 18:20:00,115
2016-04-12 18:25:00,105
2016-04-12 18:30:00,97
2016-04-12 18:35:00,102
2016-04-12 18:40:00,81
2016-04-12 18:45:00,74
2016-04-12 18:50:00,78
2016-04-12 18:55:00,66
2016-04-12 19:00:00,79
2016-04-12 19:05:00,84
2016-04-12 19:10:00,64
2016-04-12 19:15:00,71
2016-04-12 19:20:00,70
2016-04-12 19:25:00,74
2016-04-12 19:30:00,69
2016-04-12 19:35:00,72
2016-04-12 19:40:00,70
2016-04-12 19:45:00,69
2016-04-12 19:50:00,68
2016-04-12 19:55:00,74
2016-04-12 20:00:00,82
2016-04-12 20:05:00,76
2016-04-12 20:10:00,76
2016-04-12 20:15:00,68
2016-04-12 20:20:00,71
2016-04-12 20:25:00,63
2016-04-12 20:30:00,71
2016-04-12 20:35:00,67
2016-04-12 20:40:00,70
2016-04-12 20:45:00,68
2016-04-12 20:50:00,67
2016-04-12 20:55:00,67
2016-04-12 21:00:00,67
2016-04-12 21:05:00,66
2016-04-12 21:10:00,78
2016-04-12 21:15:00,71
2016-04-12 21:20:00,75
2016-04-12 21:25:00,72
2016-04-12 21:30:00,73
2016-04-12 21:35:00,82
2016-04-12 21:40:00,76
2016-04-12 21:45:00,76
2016-04-12 21:50:00,66
2016-04-12 21:55:00,59
2016-04-12 22:00:00,59
2016-04-12 22:05:00,62
2016-04-12 22:10:00,67
2016-04-12 22:15:00,81
2016-04-12 22:20:00,78
2016-04-12 22:25:00,66
2016-04-12 22:30:00,69
2016-04-12 22:35:00,91
2016-04-12 22:40:00,96
2016-04-12 22:45:00,78
2016-04-12 22:50:00,67
2016-04-12 22:55:00,89
2016-04-12 23:00:00,68
2016-04-12 23:05:00,64
2016-04-12 23:10:00,65
2016-04-12 23:15:00,74
2016-04-12 23:20:00,80
2016-04-12 23:25:00,107
2016-04-12 23:30:00,103
2016-04-12 23:35:00,95
2016-04-12 23:40:00,89
2016-04-12 23:45:00,87
2016-04-12 23:50:00,0
2016-04-12 23:55:00,0
