"time","heart-rate"
2016-03-26 00:00:00,73
2016-03-26 00:05:00,69
2016-03-26 00:10:00,70
2016-03-26 00:15:00,70
2016-03-26 00:20:00,69
2016-03-26 00:25:00,70
2016-03-26 00:30:00,71
2016-03-26 00:35:00,71
2016-03-26 00:40:00,71
2016-03-26 00:45:00,72
2016-03-26 00:50:00,77
2016-03-26 00:55:00,78
2016-03-26 01:00:00,83
2016-03-26 01:05:00,80
2016-03-26 01:10:00,81
2016-03-26 01:15:00,79
2016-03-26 01:20:00,91
2016-03-26 01:25:00,79
2016-03-26 01:30:00,70
2016-03-26 01:35:00,63
2016-03-26 01:40:00,63
2016-03-26 01:45:00,62
2016-03-26 01:50:00,60
2016-03-26 01:55:00,62
2016-03-26 02:00:00,61
2016-03-26 02:05:00,61
2016-03-26 02:10:00,63
2016-03-26 02:15:00,65
2016-03-26 02:20:00,64
2016-03-26 02:25:00,64
2016-03-26 02:30:00,64
2016-03-26 02:35:00,65
2016-03-26 02:40:00,66
2016-03-26 02:45:00,70
2016-03-26 02:50:00,71
2016-03-26 02:55:00,75
2016-03-26 03:00:00,73
2016-03-26 03:05:00,70
2016-03-26 03:10:00,66
2016-03-26 03:15:00,65
2016-03-26 03:20:00,66
2016-03-26 03:25:00,65
2016-03-26 03:30:00,68
2016-03-26 03:35:00,68
2016-03-26 03:40:00,68
2016-03-26 03:45:00,66
2016-03-26 03:50:00,66
2016-03-26 03:55:00,70
2016-03-26 04:00:00,67
2016-03-26 04:05:00,65
2016-03-26 04:10:00,65
2016-03-26 04:15:00,65
2016-03-26 04:20:00,68
2016-03-26 04:25:00,65
2016-03-26 04:30:00,66
2016-03-26 04:35:00,62
2016-03-26 04:40:00,61
2016-03-26 04:45:00,61
2016-03-26 04:50:00,60
2016-03-26 04:55:00,58
2016-03-26 05:00:00,59
2016-03-26 05:05:00,60
2016-03-26 05:10:00,60
2016-03-26 05:15:00,60
2016-03-26 05:20:00,60
2016-03-26 05:25:00,61
2016-03-26 05:30:00,62
2016-03-26 05:35:00,61
2016-03-26 05:40:00,59
2016-03-26 05:45:00,63
2016-03-26 05:50:00,58
2016-03-26 05:55:00,66
2016-03-26 06:00:00,57
2016-03-26 06:05:00,56
2016-03-26 06:10:00,57
2016-03-26 06:15:00,58
2016-03-26 06:20:00,59
2016-03-26 06:25:00,61
2016-03-26 06:30:00,62
2016-03-26 06:35:00,61
2016-03-26 06:40:00,64
2016-03-26 06:45:00,67
2016-03-26 06:50:00,65
2016-03-26 06:55:00,65
2016-03-26 07:00:00,60
2016-03-26 07:15:00,64
2016-03-26 07:20:00,68
2016-03-26 07:25:00,67
2016-03-26 07:30:00,65
2016-03-26 07:35:00,59
2016-03-26 07:40:00,59
2016-03-26 07:45:00,59
2016-03-26 07:50:00,59
2016-03-26 07:55:00,62
2016-03-26 08:00:00,60
2016-03-26 08:05:00,62
2016-03-26 08:10:00,58
2016-03-26 08:15:00,62
2016-03-26 08:20:00,62
2016-03-26 08:25:00,59
2016-03-26 08:35:00,57
2016-03-26 08:40:00,57
2016-03-26 08:45:00,70
2016-03-26 08:50:00,58
2016-03-26 08:55:00,63
2016-03-26 09:00:00,61
2016-03-26 09:05:00,59
2016-03-26 09:10:00,58
2016-03-26 09:15:00,56
2016-03-26 09:20:00,58
2016-03-26 09:25:00,58
2016-03-26 09:30:00,57
2016-03-26 09:35:00,55
2016-03-26 09:40:00,57
2016-03-26 09:45:00,57
2016-03-26 09:50:00,61
2016-03-26 09:55:00,68
2016-03-26 10:00:00,69
2016-03-26 10:05:00,69
2016-03-26 10:10:00,81
2016-03-26 10:15:00,65
2016-03-26 10:20:00,71
2016-03-26 10:25:00,72
2016-03-26 10:30:00,71
2016-03-26 10:35:00,71
2016-03-26 10:40:00,72
2016-03-26 10:45:00,73
2016-03-26 10:50:00,70
2016-03-26 10:55:00,72
2016-03-26 11:00:00,70
2016-03-26 11:05:00,69
2016-03-26 11:10:00,79
2016-03-26 11:15:00,79
2016-03-26 11:20:00,67
2016-03-26 11:25:00,68
2016-03-26 11:30:00,81
2016-03-26 11:35:00,63
2016-03-26 11:40:00,76
2016-03-26 11:45:00,81
2016-03-26 11:50:00,70
2016-03-26 11:55:00,72
2016-03-26 12:00:00,64
2016-03-26 12:05:00,64
2016-03-26 12:10:00,76
2016-03-26 12:15:00,86
2016-03-26 12:20:00,71
2016-03-26 12:25:00,68
2016-03-26 12:30:00,72
2016-03-26 12:35:00,81
2016-03-26 12:40:00,76
2016-03-26 12:45:00,77
2016-03-26 12:50:00,80
2016-03-26 12:55:00,75
2016-03-26 13:00:00,80
2016-03-26 13:05:00,79
2016-03-26 13:10:00,77
2016-03-26 13:15:00,83
2016-03-26 13:20:00,110
2016-03-26 13:25:00,81
2016-03-26 13:30:00,75
2016-03-26 13:35:00,71
2016-03-26 13:40:00,82
2016-03-26 13:45:00,87
2016-03-26 13:50:00,79
2016-03-26 13:55:00,79
2016-03-26 14:00:00,82
2016-03-26 14:05:00,78
2016-03-26 14:10:00,75
2016-03-26 14:15:00,71
2016-03-26 14:20:00,74
2016-03-26 14:25:00,70
2016-03-26 14:30:00,82
2016-03-26 14:35:00,77
2016-03-26 14:40:00,74
2016-03-26 14:45:00,98
2016-03-26 14:50:00,77
2016-03-26 14:55:00,70
2016-03-26 15:00:00,73
2016-03-26 15:05:00,80
2016-03-26 15:10:00,70
2016-03-26 15:15:00,75
2016-03-26 15:20:00,74
2016-03-26 15:25:00,81
2016-03-26 15:30:00,71
