"time","heart-rate"
2016-03-26 15:35:00,70
2016-03-26 15:40:00,70
2016-03-26 15:45:00,74
2016-03-26 15:50:00,71
2016-03-26 15:55:00,71
2016-03-26 16:00:00,76
2016-03-26 16:05:00,76
2016-03-26 16:10:00,66
2016-03-26 16:15:00,79
2016-03-26 16:20:00,78
2016-03-26 16:25:00,79
2016-03-26 16:30:00,70
2016-03-26 16:35:00,68
2016-03-26 16:40:00,68
2016-03-26 16:45:00,69
2016-03-26 16:50:00,65
2016-03-26 16:55:00,69
2016-03-26 17:00:00,70
2016-03-26 17:05:00,89
2016-03-26 17:10:00,72
2016-03-26 17:15:00,81
2016-03-26 17:20:00,92
2016-03-26 17:35:00,109
2016-03-26 17:40:00,85
2016-03-26 17:45:00,84
2016-03-26 17:50:00,85
2016-03-26 17:55:00,73
2016-03-26 18:00:00,80
2016-03-26 18:05:00,84
2016-03-26 18:10:00,85
2016-03-26 18:15:00,74
2016-03-26 18:20:00,73
2016-03-26 18:25:00,82
2016-03-26 18:30:00,71
2016-03-26 18:35:00,84
2016-03-26 18:40:00,74
2016-03-26 18:45:00,86
2016-03-26 18:50:00,89
2016-03-26 18:55:00,81
2016-03-26 19:00:00,76
2016-03-26 19:05:00,78
2016-03-26 19:10:00,84
2016-03-26 19:15:00,95
2016-03-26 19:20:00,93
2016-03-26 19:25:00,89
2016-03-26 19:30:00,79
2016-03-26 19:35:00,81
2016-03-26 19:40:00,82
2016-03-26 19:45:00,77
2016-03-26 19:50:00,78
2016-03-26 19:55:00,91
2016-03-26 20:00:00,0
2016-03-26 20:05:00,0
2016-03-26 20:10:00,0
2016-03-26 20:15:00,0
2016-03-26 20:20:00,0
2016-03-26 20:25:00,0
2016-03-26 20:30:00,0
2016-03-26 20:35:00,0
2016-03-26 20:40:00,0
2016-03-26 20:45:00,0
2016-03-26 20:50:00,0
2016-03-26 20:55:00,0
2016-03-26 21:00:00,0
2016-03-26 21:05:00,0
2016-03-26 21:10:00,0
2016-03-26 21:15:00,0
2016-03-26 21:20:00,114
2016-03-26 21:25:00,119
2016-03-26 21:30:00,112
2016-03-26 21:35:00,95
2016-03-26 21:40:00,100
2016-03-26 21:45:00,95
2016-03-26 21:50:00,95
2016-03-26 21:55:00,97
2016-03-26 22:00:00,98
2016-03-26 22:05:00,95
2016-03-26 22:10:00,89
2016-03-26 22:15:00,88
2016-03-26 22:20:00,84
2016-03-26 22:25:00,85
2016-03-26 22:30:00,85
2016-03-26 22:35:00,84
2016-03-26 22:40:00,85
2016-03-26 22:45:00,82
2016-03-26 22:50:00,79
2016-03-26 22:55:00,83
2016-03-26 23:00:00,78
2016-03-26 23:05:00,74
2016-03-26 23:10:00,75
2016-03-26 23:15:00,81
2016-03-26 23:20:00,75
2016-03-26 23:25:00,78
2016-03-26 23:30:00,84
2016-03-26 23:35:00,85
2016-03-26 23:40:00,89
2016-03-26 23:45:00,85
2016-03-26 23:50:00,78
2016-03-26 23:55:00,78
