"time","steps","distance","floors","active-minutes","calories-burned"
2016-04-11 00:00:00,0,0,0,0,12.9465
2016-04-11 00:15:00,0,0,0,0,12.9465
2016-04-11 00:30:00,0,0,0,0,13.11912
2016-04-11 00:45:00,0,0,0,0,12.9465
2016-04-11 01:00:00,7,0.002783743,0,0,14.15484
2016-04-11 01:15:00,4,0.0015907102,0,0,14.32746
2016-04-11 01:30:00,0,0,0,0,12.9465
2016-04-11 01:45:00,0,0,0,0,13.03281
2016-04-11 02:00:00,0,0,0,0,13.03281
2016-04-11 02:15:00,37,0.01471407,0,0,15.88104
2016-04-11 02:30:00,0,0,0,0,12.9465
2016-04-11 02:45:00,0,0,0,0,13.11912
2016-04-11 03:00:00,0,0,0,0,12.9465
2016-04-11 03:15:00,0,0,0,0,12.9465
2016-04-11 03:30:00,0,0,0,0,12.9465
2016-04-11 03:45:00,11,0.0043744533,0,0,14.32746
2016-04-11 04:00:00,0,0,0,0,13.03281
2016-04-11 04:15:00,0,0,0,0,12.9465
2016-04-11 04:30:00,0,0,0,0,13.11912
2016-04-11 04:45:00,0,0,0,0,13.03281
2016-04-11 05:00:00,0,0,0,0,13.03281
2016-04-11 05:15:00,0,0,0,0,12.9465
2016-04-11 05:30:00,0,0,0,0,13.03281
2016-04-11 05:45:00,0,0,0,0,13.11912
2016-04-11 06:00:00,0,0,0,0,13.11912
2016-04-11 06:15:00,0,0,0,0,13.03281
2016-04-11 06:30:00,0,0,0,0,13.29174
2016-04-11 06:45:00,61,0.02425833,0,0,18.81558
2016-04-11 07:00:00,18,0.007158196,0,0,14.6727
2016-04-11 07:15:00,209,0.08311461,0,0,27.79182
2016-04-11 07:30:00,112,0.044539887,0,0,23.99418
2016-04-11 07:45:00,284,0.11294043,0,0,28.65492
2016-04-11 08:00:00,232,0.092261195,0,0,29.69064
2016-04-11 08:15:00,148,0.05885628,0,0,25.72038
2016-04-11 08:30:00,109,0.043346856,0,0,23.39001
2016-04-11 08:45:00,101,0.040165436,0,0,22.26798
2016-04-11 09:00:00,201,0.07993319,0,0,23.90787
2016-04-11 09:15:00,152,0.06044699,1,0,24.42573
2016-04-11 09:30:00,25,0.009941939,0,0,15.44949
2016-04-11 09:45:00,124,0.049312018,0,0,21.05964
2016-04-11 10:00:00,90,0.03579098,0,0,20.45547
2016-04-11 10:15:00,163,0.064821444,0,0,27.27396
2016-04-11 10:30:00,269,0.106975265,0,0,30.81267
2016-04-11 10:45:00,348,0.1383918,0,0,38.32164
2016-04-11 11:00:00,203,0.080728546,0,0,27.79182
2016-04-11 11:15:00,151,0.06004931,0,0,25.54776
2016-04-11 11:30:00,226,0.08987513,0,0,29.00016
2016-04-11 11:45:00,70,0.02783743,0,0,20.7144
2016-04-11 12:00:00,327,0.13004056,0,0,33.74721
2016-04-11 12:15:00,45,0.01789549,0,0,18.64296
2016-04-11 12:30:00,100,0.039767757,0,0,21.49119
2016-04-11 12:45:00,120,0.047721308,0,0,24.42573
2016-04-11 13:00:00,273,0.10856597,0,0,28.22337
2016-04-11 13:15:00,0,0,0,0,14.06853
2016-04-11 13:30:00,79,0.031416528,0,0,19.67868
2016-04-11 13:45:00,102,0.04056311,0,0,20.11023
2016-04-11 14:00:00,0,0,0,0,13.20543
2016-04-11 14:15:00,0,0,0,0,13.63698
2016-04-11 14:30:00,21,0.008351229,0,0,16.13997
2016-04-11 14:45:00,0,0,0,0,13.72329
2016-04-11 15:00:00,0,0,0,0,13.89591
2016-04-11 15:15:00,0,0,0,0,13.37805
2016-04-11 15:30:00,19,0.0075558736,0,0,15.96735
2016-04-11 15:45:00,131,0.05209576,0,0,21.92274
2016-04-11 16:00:00,86,0.03420027,1,0,17.69355
2016-04-11 16:15:00,109,0.043346856,0,0,22.35429
2016-04-11 16:30:00,401,0.1594687,1,0,33.48828
2016-04-11 16:45:00,6,0.0023860654,0,0,15.27687
2016-04-11 17:00:00,124,0.049312018,0,0,23.04477
2016-04-11 17:15:00,246,0.09782868,0,0,32.19363
2016-04-11 17:30:00,121,0.048118986,0,0,20.7144
2016-04-11 17:45:00,0,0,0,0,13.46436
2016-04-11 18:00:00,0,0,0,0,13.11912
2016-04-11 18:15:00,244,0.09703332,0,0,31.67577
2016-04-11 18:30:00,203,0.080728546,0,0,27.01503
2016-04-11 18:45:00,2200,1.0637751,1,15,117.89946
2016-04-11 19:00:00,1274,0.54411614,0,15,89.58978
2016-04-11 19:15:00,1335,0.5308995,6,12,69.22062
2016-04-11 19:30:00,1495,0.59452796,0,15,71.80992
2016-04-11 19:45:00,798,0.3173467,0,7,47.72943
2016-04-11 20:00:00,885,0.35194466,0,7,51.87231
2016-04-11 20:15:00,6,0.0023860654,0,0,15.79473
2016-04-11 20:30:00,151,0.06004931,0,0,21.83643
2016-04-11 20:45:00,60,0.023860654,0,0,18.29772
2016-04-11 21:00:00,0,0,0,0,14.84532
2016-04-11 21:15:00,0,0,0,0,13.03281
2016-04-11 21:30:00,74,0.02942814,0,0,19.76499
2016-04-11 21:45:00,106,0.04215382,0,0,23.64894
2016-04-11 22:00:00,0,0,0,0,13.11912
2016-04-11 22:15:00,0,0,0,0,13.11912
2016-04-11 22:30:00,0,0,0,0,12.9465
2016-04-11 22:45:00,0,0,0,0,13.03281
2016-04-11 23:00:00,0,0,0,0,12.9465
2016-04-11 23:15:00,72,0.028632784,0,0,17.34831
2016-04-11 23:30:00,0,0,0,0,12.9465
2016-04-11 23:45:00,0,0,0,0,12.9465
