"time","steps","distance","floors","active-minutes","calories-burned"
2016-03-26 00:00:00,13,0.0060521555,0,0,25.55484
2016-03-26 00:15:00,0,0,0,0,21.88473
2016-03-26 00:30:00,0,0,0,0,23.65182
2016-03-26 00:45:00,0,0,0,0,24.4674
2016-03-26 01:00:00,0,0,0,0,24.4674
2016-03-26 01:15:00,28,0.013030154,0,0,28.40937
2016-03-26 01:30:00,1,0.0004660284,0,0,22.97217
2016-03-26 01:45:00,0,0,0,0,20.3895
2016-03-26 02:00:00,0,0,0,0,20.3895
2016-03-26 02:15:00,0,0,0,0,20.3895
2016-03-26 02:30:00,0,0,0,0,20.3895
2016-03-26 02:45:00,0,0,0,0,22.42845
2016-03-26 03:00:00,0,0,0,0,21.88473
2016-03-26 03:15:00,0,0,0,0,20.3895
2016-03-26 03:30:00,0,0,0,0,20.66136
2016-03-26 03:45:00,0,0,0,0,21.06915
2016-03-26 04:00:00,0,0,0,0,20.79729
2016-03-26 04:15:00,0,0,0,0,20.66136
2016-03-26 04:30:00,0,0,0,0,20.52543
2016-03-26 04:45:00,0,0,0,0,20.52543
2016-03-26 05:00:00,0,0,0,0,20.3895
2016-03-26 05:15:00,0,0,0,0,20.3895
2016-03-26 05:30:00,0,0,0,0,20.66136
2016-03-26 05:45:00,0,0,0,0,20.52543
2016-03-26 06:00:00,0,0,0,0,20.3895
2016-03-26 06:15:00,0,0,0,0,20.3895
2016-03-26 06:30:00,0,0,0,0,20.3895
2016-03-26 06:45:00,0,0,0,0,21.06915
2016-03-26 07:00:00,0,0,0,0,20.52543
2016-03-26 07:15:00,0,0,0,0,20.93322
2016-03-26 07:30:00,0,0,0,0,20.3895
2016-03-26 07:45:00,0,0,0,0,20.3895
2016-03-26 08:00:00,0,0,0,0,20.52543
2016-03-26 08:15:00,0,0,0,0,20.3895
2016-03-26 08:30:00,0,0,0,0,20.3895
2016-03-26 08:45:00,0,0,0,0,20.79729
2016-03-26 09:00:00,0,0,0,0,20.66136
2016-03-26 09:15:00,0,0,0,0,20.52543
2016-03-26 09:30:00,0,0,0,0,20.52543
2016-03-26 09:45:00,13,0.0060521555,0,0,23.1081
2016-03-26 10:00:00,154,0.07166895,0,0,39.28377
2016-03-26 10:15:00,4,0.0018641136,0,0,24.33147
2016-03-26 10:30:00,8,0.0037220134,0,0,24.4674
2016-03-26 10:45:00,1,0.0004660284,0,0,25.28298
2016-03-26 11:00:00,29,0.013496182,0,0,27.45786
2016-03-26 11:15:00,122,0.056774687,0,0,41.86644
2016-03-26 11:30:00,160,0.074465126,0,0,42.41016
2016-03-26 11:45:00,102,0.047466546,0,0,38.60412
2016-03-26 12:00:00,162,0.07539718,0,0,36.02145
2016-03-26 12:15:00,96,0.044676587,0,0,38.74005
2016-03-26 12:30:00,18,0.008376083,0,0,26.77821
2016-03-26 12:45:00,13,0.0060521555,0,0,29.49681
2016-03-26 13:00:00,35,0.016292352,0,0,28.5453
2016-03-26 13:15:00,45,0.020946423,0,0,58.04211
2016-03-26 13:30:00,33,0.015360296,0,0,31.12797
2016-03-26 13:45:00,25,0.011632069,0,0,32.89506
2016-03-26 14:00:00,90,0.041880418,0,0,42.95388
2016-03-26 14:15:00,4,0.0018641136,0,0,25.28298
2016-03-26 14:30:00,8,0.0037282272,0,0,29.08902
2016-03-26 14:45:00,105,0.048870843,0,0,47.30364
2016-03-26 15:00:00,189,0.08796752,0,0,43.4976
2016-03-26 15:15:00,182,0.08469911,0,0,49.07073
2016-03-26 15:30:00,7,0.003255985,0,0,25.14705
2016-03-26 15:45:00,66,0.030714378,0,0,30.04053
2016-03-26 16:00:00,0,0,0,0,24.60333
2016-03-26 16:15:00,134,0.06237324,0,0,47.16771
2016-03-26 16:30:00,0,0,0,0,22.56438
2016-03-26 16:45:00,0,0,0,0,22.42845
2016-03-26 17:00:00,0,0,0,0,29.49681
2016-03-26 17:15:00,45,0.020940209,0,0,36.15738
2016-03-26 17:30:00,80,0.037232563,0,0,39.55563
2016-03-26 17:45:00,385,0.1791786,1,0,58.4499
2016-03-26 18:00:00,355,0.16521639,0,0,58.31397
2016-03-26 18:15:00,165,0.076795265,2,0,40.23528
2016-03-26 18:30:00,173,0.08052349,0,0,42.41016
2016-03-26 18:45:00,316,0.14707235,0,0,62.93559
2016-03-26 19:00:00,127,0.05911104,0,0,42.81795
2016-03-26 19:15:00,0,0,0,0,29.22495
2016-03-26 19:30:00,0,0,0,0,26.09856
2016-03-26 19:45:00,49,0.022804324,0,0,30.85611
2016-03-26 20:00:00,0,0,0,0,20.3895
2016-03-26 20:15:00,0,0,0,0,20.3895
2016-03-26 20:30:00,0,0,0,0,20.3895
2016-03-26 20:45:00,0,0,0,0,20.3895
2016-03-26 21:00:00,8,0.0037220134,0,0,22.56438
2016-03-26 21:15:00,123,0.057246927,0,9,82.78137
2016-03-26 21:30:00,106,0.04933066,0,7,84.54846
2016-03-26 21:45:00,0,0,0,0,32.6232
2016-03-26 22:00:00,0,0,0,0,29.49681
2016-03-26 22:15:00,0,0,0,0,26.77821
2016-03-26 22:30:00,0,0,0,0,25.96263
2016-03-26 22:45:00,0,0,0,0,25.28298
2016-03-26 23:00:00,6,0.0027899568,0,0,27.72972
2016-03-26 23:15:00,25,0.011632069,0,0,30.04053
2016-03-26 23:30:00,0,0,0,0,27.186
2016-03-26 23:45:00,50,0.023270352,0,0,35.88552
